category,country,free/paid/grossing,rank,bundle id,icon,app name,publisher
Beauty,Austria,free,1,/app/google-play/photography.sweet.selfie.camera/statistics/,"https://play-lh.googleusercontent.com/GfZmwbdrQxU4aE37brPECuYrO3LL0k64ppDlb8vJjmBCsrH51kaOXDxdD8ivnAgBass=s180",Beauty Camera Plus: Selfie Cam,Mobile_V5
Beauty,Austria,free,2,/app/google-play/beauty.camera.coocent/statistics/,"https://play-lh.googleusercontent.com/ul2Uf6P0yXYFwPP1_Q1j2fbUjt4HPZiUjUBtSivvlS1ZXNIRYAWgHZCNW2577fzJb9I=s180",Beauty Camera - Selfie Camera,Coocent
Beauty,Austria,free,3,/app/google-play/com.studio.aone.girlshairstyle.hairstylestepbystep/statistics/,"https://play-lh.googleusercontent.com/QXnmvFfb76A7c8dbxL9T_PHjqMese0XrH8BJq8BgYZMot4sgNGbvdDi39w-W06Qf2PQB=s180",Girls Hairstyle Step By Step,Ms. Beautician
Beauty,Austria,free,4,/app/google-play/photo.cam.filter.beauty.effect/statistics/,"https://play-lh.googleusercontent.com/ZW0j19Wm6z_zzt7I0PqZpS0LVqHAuLXZeM48HeugX8kZ4HDP1gepY6wuIVETxqfkRjE=s180",Beauty Camera Plus: Sweet Cam,Mobile_V5
Beauty,Austria,free,5,/app/google-play/com.nabilsoft.daily_hairstyles_for_girls/statistics/,"https://play-lh.googleusercontent.com/Q92qiiNH4XLFca-f2viWohO-dY5Lxv5L63ECCvLdzOscFaJKbny29VA6oH-0zfRDCEA=s180",Easy Hairstyles for Girls,Nabil_Soft
Beauty,Austria,free,6,/app/google-play/com.photo.hd.camera.beauty.filter/statistics/,"https://play-lh.googleusercontent.com/vAY_83HmxPhy4xhiD0_mtCKvUQIHp1P1yDA4JKQUoioBWFagDbgjxaypcysVHlO8BDxY=s180",HD Camera for Android,HD Camera & Message App
Beauty,Austria,free,7,/app/google-play/net.booksy.customer/statistics/,"https://play-lh.googleusercontent.com/EMsrhZzxL1SJDRsCUfY2NTAkQymK9v_rvhS4hEKfviw90LWJITrABOvWw6IgTGkfgbE=s180",Booksy for Customers,Booksy International sp. z o.o.
Beauty,Austria,free,8,/app/google-play/photo.cameraselfie.sweet.camera/statistics/,"https://play-lh.googleusercontent.com/wtLo5RbtIsyUGuZm_M-QOqPctfOJIxk5l5MW_ksKBDJ8eChRHeH5SDhvQC2tdChbQQ=s180",Beauty Plus Camera - Sweet Cam,Leopard V7
Beauty,Austria,free,9,/app/google-play/com.lajeuneandassociatesllc.barberchopdev/statistics/,"https://play-lh.googleusercontent.com/5GZ2_hNieO-bIu4OclsKO6TneFCXKmD15F6iIHllWLMtnsuTKIPg9EQgGm9FDZQUADw=s180",Barber Chop,Lajeune & Associates, LLC
Beauty,Austria,free,10,/app/google-play/beauty.skin.care.app/statistics/,"https://play-lh.googleusercontent.com/K6CiDqH4Ar-YAxiBE7sgzB_pTZxOYEv0hvBnNFA6ISlFaXMPHHYzyWd073_qPIAvVTBP=s180",Skincare and Face Care Routine,Rstream Labs
Beauty,Austria,free,11,/app/google-play/com.makeupcamera.beautyselfiecamera/statistics/,"https://play-lh.googleusercontent.com/3dkpGglBUGKjqpGOewH-nVolqf3bEm7z82kAo4bG0hQxIYq3hAlI_Qb4QSM6rK6RJJg=s180",Selfie Camera - Beauty Studio,apricots apps
